,POSITIVE,NEGATIVE
genuine,212,19
gradea,6,0
bonafide,7,1
capital,19,2
c,15,3
aquel,1,0
que,132,18
visto,3,0
el,59,10
padrino,2,0
puede,4,0
decir,2,0
ama,2,0
cine,7,0
engulfs,4,0
lot,547,93
despicable,11,2
repulse,1,0
heartbreakingly,17,0
paradoxical,5,1
selfannhiliation,1,0
got,198,68
glance,31,3
thought,209,39
reveals,58,6
watch,513,87
true,622,29
scary,122,69
intelligent,272,8
touching,264,3
taken,159,26
everywhere,31,6
explains,10,1
associate,21,2
undisputed,15,0
timeless,168,0
longer,73,20
demonstrate,12,3
eternally,8,0
conjuring,8,2
act,273,49
inviting,18,2
consider,51,13
change,177,13
transformation,24,2
civilian,5,1
hardnosed,3,0
general,64,17
